Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
Belgium,Cassava,1997,113384,847,121.51,10.5
Australia,Soybeans,1990,30145,534,153.95,21.65
Australia,Cassava,1992,120672,534,136.35,21.65
Netherlands,Maize,2008,70525,850,98.26,9.5
Indonesia,Maize,2001,66588,2702,124.22,26.5
Argentina,Sweet potatoes,2008,184815,590,90.2,16.0
Albania,Potatoes,1999,210442,1485,115.82,16.37
Bangladesh,Sorghum,2004,19099,2666,102.08,25.5
Albania,Potatoes,2010,219157,1485,97.74,16.37
Japan,Yams,1993,110632,1668,142.11,12.0
Bangladesh,Sorghum,2002,17832,2666,120.44,25.5
Bangladesh,Wheat,2011,35561,2666,85.45,25.5
Bangladesh,Sorghum,2007,19058,2666,104.96,25.5
Canada,Plantains,2001,63088,537,118.92,-5.35
Turkey,Cassava,1997,149676,574,136.27,11.1
USA,Sorghum,1991,14220,715,142.93,8.5
Canada,Rice,2005,40558,537,102.1,-5.35
Germany,Sweet potatoes,1999,138739,700,126.53,8.5
Albania,Rice,2005,61090,1485,111.36,16.37
Turkey,Potatoes,1999,193136,574,127.88,11.1
Italy,Sweet potatoes,2012,165724,832,83.33,13.5
Thailand,Rice,1991,51219,1622,145.92,28.0
Germany,Yams,1991,90823,700,147.09,8.5
Bangladesh,Cassava,2005,141610,2666,96.58,25.5
Germany,Soybeans,1993,27963,700,147.31,8.5
Mexico,Potatoes,1998,232986,758,130.58,21.0
Australia,Yams,1999,115830,534,117.12,21.65
United Kingdom,Sweet potatoes,2008,143328,1220,105.14,9.5
United Kingdom,Cassava,2008,133739,1220,96.64,9.5
Japan,Cassava,1994,142016,1668,141.39,12.0
Pakistan,Sweet potatoes,1992,118104,494,143.96,19.0
Brazil,Sweet potatoes,1994,169353,1761,131.31,25.0
Spain,Wheat,2012,42163,636,77.59,14.0
China,Rice,1995,49861,645,138.23,8.5
United Kingdom,Maize,2005,64839,1220,98.16,9.5
Indonesia,Potatoes,2005,213658,2702,110.08,26.5
Pakistan,Sorghum,2010,17814,494,86.33,19.0
Belgium,Soybeans,2009,35453,847,95.65,10.5
Indonesia,Cassava,2013,166139,2702,89.35,26.5
Indonesia,Sweet potatoes,1996,143939,2702,141.8,26.5
India,Cassava,2004,168465,1083,105.11,25.0
Egypt,Maize,2012,54366,51,90.17,22.5
Netherlands,Yams,2010,137638,850,97.66,9.5
USA,Plantains,2000,73868,715,111.49,8.5
Austria,Potatoes,1993,186614,1110,143.07,6.35
Spain,Cassava,2007,170123,636,107.56,14.0
Argentina,Yams,2007,147588,590,91.74,16.0
Mexico,Sorghum,2001,18404,758,111.14,21.0
Indonesia,Cassava,1999,127166,2702,131.93,26.5
Argentina,Rice,1999,50676,590,130.94,16.0
Argentina,Rice,2005,52880,590,99.13,16.0
Germany,Sorghum,1994,16728,700,136.04,8.5
France,Yams,1991,118278,867,154.23,12.5
Mexico,Sweet potatoes,1996,141043,758,125.1,21.0
Japan,Sweet potatoes,2011,182513,1668,87.03,12.0
Pakistan,Potatoes,1995,127721,494,138.31,19.0
Spain,Rice,1990,51493,636,145.04,14.0
Netherlands,Maize,2006,62816,850,92.92,9.5
India,Potatoes,2011,234614,1083,84.69,25.0
Argentina,Maize,1990,52936,590,152.59,16.0
Indonesia,Yams,1991,100768,2702,151.06,26.5
France,Wheat,2002,40345,867,117.83,12.5
Brazil,Yams,2005,126906,1761,107.65,25.0
China,Sweet potatoes,2001,156770,645,115.86,8.5
Vietnam,Maize,2010,66124,1821,80.41,25.5
Bangladesh,Plantains,2013,102686,2666,83.72,25.5
Pakistan,Sorghum,2011,15050,494,80.87,19.0
Turkey,Rice,2005,48959,574,110.84,11.1
Italy,Plantains,2000,74502,832,115.09,13.5
India,Yams,1996,131312,1083,124.61,25.0
Indonesia,Rice,2013,75077,2702,86.91,26.5
Indonesia,Sweet potatoes,2012,167677,2702,88.08,26.5
Vietnam,Wheat,2006,44861,1821,94.14,25.5
Brazil,Plantains,2005,76198,1761,114.36,25.0
Mexico,Rice,1996,52417,758,135.52,21.0
Argentina,Sorghum,2011,17717,590,81.92,16.0
Germany,Plantains,2000,71996,700,129.53,8.5
Egypt,Soybeans,2001,28323,51,115.99,22.5
China,Yams,2011,124701,645,96.42,8.5
Bangladesh,Plantains,1999,72685,2666,125.16,25.5
Mexico,Plantains,2012,98456,758,82.86,21.0
Turkey,Cassava,2002,144353,574,104.11,11.1
USA,Maize,2011,63157,715,92.38,8.5
United Kingdom,Cassava,1996,125816,1220,122.46,9.5
Italy,Wheat,1992,35185,832,137.14,13.5
Argentina,Maize,1997,52819,590,128.27,16.0
United Kingdom,Sorghum,1994,17180,1220,137.84,9.5
Mexico,Sweet potatoes,1991,163033,758,154.99,21.0
Austria,Sorghum,1998,15909,1110,119.84,6.35
Canada,Maize,1994,47680,537,131.82,-5.35
USA,Wheat,1991,27654,715,145.38,8.5
Spain,Soybeans,2010,35986,636,99.18,14.0
China,Maize,1991,49345,645,146.51,8.5
France,Rice,1991,41250,867,143.71,12.5
Belgium,Maize,2011,72331,847,92.24,10.5
Pakistan,Cassava,2009,114380,494,98.13,19.0
Brazil,Sorghum,1991,17459,1761,155.89,25.0
Turkey,Potatoes,1997,173042,574,125.46,11.1
Belgium,Rice,1995,47491,847,142.08,10.5
Thailand,Rice,1992,44070,1622,143.41,28.0
Vietnam,Wheat,1999,41486,1821,120.01,25.5
Australia,Soybeans,2012,43388,534,93.47,21.65
Brazil,Sweet potatoes,1991,155264,1761,151.37,25.0
Argentina,Sorghum,1993,17533,590,145.27,16.0
Vietnam,Plantains,2000,90827,1821,110.99,25.5
France,Soybeans,2010,37715,867,83.08,12.5
Albania,Cassava,1995,112952,1485,137.46,16.37
USA,Sweet potatoes,1995,156908,715,143.52,8.5
Canada,Cassava,2010,113472,537,81.32,-5.35
Argentina,Rice,1992,53024,590,143.18,16.0
Argentina,Plantains,2011,81418,590,93.35,16.0
Egypt,Plantains,1999,74259,51,114.97,22.5
United Kingdom,Maize,1998,63370,1220,129.76,9.5
Mexico,Potatoes,2002,208540,758,111.97,21.0
Australia,Plantains,2009,85210,534,102.39,21.65
Bangladesh,Sweet potatoes,2006,153095,2666,101.64,25.5
Brazil,Plantains,1992,77812,1761,146.57,25.0
Spain,Soybeans,2006,32157,636,97.16,14.0
Canada,Soybeans,1994,25691,537,134.13,-5.35
United Kingdom,Sweet potatoes,1992,115980,1220,152.77,9.5
Netherlands,Rice,1993,52495,850,136.49,9.5
Australia,Sweet potatoes,1997,176731,534,120.6,21.65
Japan,Maize,2005,69121,1668,102.0,12.0
Canada,Yams,1996,110991,537,127.19,-5.35
Turkey,Soybeans,2001,26876,574,116.64,11.1
Bangladesh,Sorghum,1997,18734,2666,138.7,25.5
USA,Rice,2011,52601,715,92.5,8.5
Belgium,Plantains,2009,76560,847,95.69,10.5
Indonesia,Yams,2001,129633,2702,117.92,26.5
Brazil,Yams,2006,152517,1761,101.48,25.0
Vietnam,Rice,1997,51435,1821,131.61,25.5
Belgium,Sweet potatoes,1992,122868,847,141.31,10.5
Vietnam,Potatoes,2008,210816,1821,104.31,25.5
Japan,Maize,2003,52532,1668,120.63,12.0
France,Yams,1994,127557,867,137.66,12.5
Netherlands,Wheat,1990,26176,850,152.79,9.5
Spain,Maize,2001,66914,636,108.38,14.0
United Kingdom,Plantains,2004,74701,1220,116.56,9.5
Brazil,Sweet potatoes,2005,170548,1761,105.0,25.0
Netherlands,Rice,2011,59771,850,90.08,9.5
Argentina,Wheat,2011,42337,590,81.97,16.0
Italy,Yams,2008,128958,832,101.61,13.5
Canada,Wheat,2010,37211,537,84.76,-5.35
Netherlands,Potatoes,1996,168090,850,127.13,9.5
Argentina,Sweet potatoes,2004,153271,590,100.97,16.0
Austria,Sorghum,2006,19503,1110,111.88,6.35
Belgium,Sweet potatoes,2001,131558,847,121.15,10.5
Brazil,Yams,2003,144404,1761,112.94,25.0
China,Sweet potatoes,2000,139836,645,110.51,8.5
Indonesia,Maize,1995,49990,2702,125.46,26.5
Albania,Wheat,1994,35167,1485,147.27,16.37
Albania,Soybeans,1996,24167,1485,134.13,16.37
Pakistan,Yams,1992,79828,494,148.62,19.0
Canada,Rice,1994,43040,537,131.59,-5.35
Italy,Cassava,2001,131625,832,125.99,13.5
Italy,Potatoes,2001,196536,832,126.92,13.5
Australia,Maize,1996,54823,534,136.65,21.65
Bangladesh,Sweet potatoes,1990,133014,2666,150.35,25.5
Netherlands,Maize,2007,62249,850,95.77,9.5
Brazil,Sorghum,1992,17669,1761,147.43,25.0
Albania,Wheat,2005,40169,1485,111.19,16.37
Germany,Plantains,1996,61578,700,136.77,8.5
China,Sorghum,2000,16050,645,112.98,8.5
India,Plantains,1991,79854,1083,151.07,25.0
Canada,Wheat,2007,31869,537,90.88,-5.35
Austria,Potatoes,1998,184620,1110,123.6,6.35
Pakistan,Cassava,2007,135753,494,90.92,19.0
United Kingdom,Yams,2001,121485,1220,117.5,9.5
Bangladesh,Wheat,2013,46698,2666,76.6,25.5
Thailand,Sorghum,2008,22697,1622,89.31,28.0
France,Cassava,2002,156953,867,120.05,12.5
Canada,Yams,2012,105122,537,92.65,-5.35
Brazil,Soybeans,1997,27008,1761,127.16,25.0
Netherlands,Rice,2009,53211,850,90.05,9.5
Turkey,Wheat,1991,28802,574,137.68,11.1
Netherlands,Soybeans,2000,32816,850,115.08,9.5
Bangladesh,Yams,1990,122026,2666,152.25,25.5
Brazil,Soybeans,2013,35171,1761,75.97,25.0
Indonesia,Wheat,2013,37291,2702,79.85,26.5
Albania,Cassava,1990,123269,1485,145.73,16.37
Argentina,Wheat,2010,36797,590,83.03,16.0
Belgium,Yams,2007,142005,847,99.33,10.5
Bangladesh,Wheat,2005,43095,2666,100.21,25.5
Thailand,Wheat,2003,44459,1622,101.51,28.0
Albania,Wheat,1991,29263,1485,155.3,16.37
Indonesia,Potatoes,2011,218762,2702,92.51,26.5
Australia,Wheat,2001,43561,534,115.65,21.65
United Kingdom,Potatoes,1990,154731,1220,151.8,9.5
China,Maize,2011,60235,645,96.16,8.5
Argentina,Sweet potatoes,2000,143328,590,128.3,16.0
France,Sorghum,2010,18245,867,89.92,12.5
Belgium,Cassava,1996,149478,847,132.43,10.5
France,Wheat,2013,36510,867,87.92,12.5
Thailand,Cassava,1999,161213,1622,113.77,28.0
Spain,Sweet potatoes,2000,168484,636,129.12,14.0
China,Rice,2000,50502,645,128.53,8.5
Turkey,Cassava,2005,162574,574,107.18,11.1
Belgium,Soybeans,1996,28434,847,122.0,10.5
Italy,Sweet potatoes,1997,138317,832,138.53,13.5
Argentina,Maize,1998,48905,590,127.67,16.0
Belgium,Plantains,1995,71836,847,133.74,10.5
Pakistan,Sweet potatoes,2010,124430,494,86.73,19.0
Argentina,Plantains,2005,72577,590,108.36,16.0
Belgium,Yams,1999,109893,847,126.13,10.5
USA,Wheat,1996,36365,715,123.0,8.5
Bangladesh,Yams,2013,153641,2666,83.92,25.5
Belgium,Yams,1995,128144,847,143.37,10.5
Turkey,Yams,2011,137066,574,83.52,11.1
Netherlands,Cassava,2010,144742,850,92.81,9.5
Pakistan,Sorghum,1994,14156,494,132.12,19.0
Turkey,Cassava,1999,153802,574,128.63,11.1
USA,Soybeans,1998,31825,715,122.75,8.5
USA,Cassava,2013,149597,715,88.19,8.5
Spain,Potatoes,1999,171289,636,120.19,14.0
Mexico,Cassava,1995,152442,758,132.13,21.0
Italy,Maize,1995,57314,832,137.66,13.5
Brazil,Sorghum,2013,22924,1761,85.13,25.0
Argentina,Sweet potatoes,1996,139668,590,136.75,16.0
USA,Potatoes,1991,190947,715,142.42,8.5
Canada,Potatoes,2006,180667,537,98.84,-5.35
Australia,Sweet potatoes,1996,170591,534,128.79,21.65
Mexico,Plantains,1998,71010,758,134.15,21.0
Bangladesh,Potatoes,2008,243172,2666,91.44,25.5
Turkey,Wheat,2004,41597,574,109.07,11.1
Mexico,Maize,2002,74529,758,113.54,21.0
Pakistan,Wheat,2003,30649,494,113.5,19.0
Egypt,Cassava,1998,110837,51,132.36,22.5
Brazil,Potatoes,2013,215688,1761,78.69,25.0
Australia,Soybeans,2003,34600,534,116.22,21.65
China,Cassava,2012,161126,645,82.88,8.5
Netherlands,Maize,1998,59606,850,127.31,9.5
Turkey,Plantains,1994,75788,574,135.28,11.1
Brazil,Cassava,2006,163833,1761,103.07,25.0
Thailand,Maize,1999,68487,1622,115.55,28.0
India,Plantains,1994,71564,1083,140.81,25.0
France,Plantains,1995,66119,867,135.26,12.5
Bangladesh,Potatoes,2000,218363,2666,118.74,25.5
France,Potatoes,2003,224003,867,119.92,12.5
Canada,Plantains,1997,67112,537,127.6,-5.35
USA,Maize,1994,60164,715,142.2,8.5
Belgium,Sweet potatoes,1993,121210,847,134.92,10.5
Canada,Plantains,1991,54584,537,150.27,-5.35
Albania,Plantains,2006,76457,1485,97.86,16.37
United Kingdom,Maize,2002,55996,1220,111.73,9.5
Spain,Cassava,2006,137547,636,92.06,14.0
Argentina,Sweet potatoes,2007,175384,590,90.34,16.0
Egypt,Potatoes,1992,144226,51,135.74,22.5
Belgium,Plantains,2004,70691,847,111.33,10.5
Indonesia,Wheat,1998,31233,2702,125.16,26.5
Bangladesh,Cassava,1994,124211,2666,144.59,25.5
Vietnam,Yams,2006,139330,1821,110.11,25.5
Albania,Soybeans,2004,32104,1485,111.15,16.37
Italy,Plantains,1992,75911,832,146.5,13.5
Egypt,Rice,2007,50896,51,96.18,22.5
France,Soybeans,1997,32290,867,134.0,12.5
Germany,Cassava,1994,118133,700,144.88,8.5
China,Soybeans,2008,36456,645,99.48,8.5
Bangladesh,Plantains,2010,92768,2666,98.83,25.5
Netherlands,Sweet potatoes,1990,124188,850,155.78,9.5
Germany,Potatoes,2011,193755,700,83.32,8.5
Japan,Rice,2004,55791,1668,107.11,12.0
Italy,Rice,2007,57936,832,103.37,13.5
USA,Potatoes,1997,197776,715,121.28,8.5
USA,Potatoes,1995,155653,715,136.26,8.5
Netherlands,Maize,2001,54794,850,109.63,9.5
Pakistan,Soybeans,1991,21388,494,147.71,19.0
China,Yams,2000,135530,645,121.32,8.5
Indonesia,Yams,2005,127998,2702,108.52,26.5
Brazil,Potatoes,1994,203201,1761,143.61,25.0
Argentina,Plantains,1995,62667,590,125.51,16.0
Egypt,Potatoes,1993,139991,51,146.63,22.5
Bangladesh,Soybeans,1991,24699,2666,150.09,25.5
India,Cassava,2001,154948,1083,113.23,25.0
Albania,Soybeans,2001,27902,1485,121.24,16.37
Mexico,Plantains,1990,62211,758,145.23,21.0
Albania,Potatoes,1995,173173,1485,125.9,16.37
France,Sorghum,1990,14532,867,153.51,12.5
Austria,Sweet potatoes,1991,145443,1110,142.09,6.35
Italy,Sweet potatoes,2007,175695,832,96.52,13.5
Brazil,Sweet potatoes,2012,190635,1761,78.09,25.0
Austria,Potatoes,1997,178903,1110,119.51,6.35
France,Plantains,1996,81386,867,133.92,12.5
Australia,Soybeans,1998,29985,534,116.13,21.65
China,Maize,2004,52697,645,111.16,8.5
United Kingdom,Sweet potatoes,2004,160388,1220,107.84,9.5
France,Sweet potatoes,2012,150770,867,79.0,12.5
Indonesia,Sorghum,2003,19913,2702,103.83,26.5
Vietnam,Sweet potatoes,1996,171662,1821,124.07,25.5
Pakistan,Maize,1996,44816,494,127.13,19.0
Vietnam,Sorghum,1996,17082,1821,137.46,25.5
Egypt,Sweet potatoes,2010,166375,51,81.34,22.5
France,Cassava,2003,162861,867,103.75,12.5
Belgium,Cassava,1990,116554,847,149.86,10.5
Mexico,Sorghum,1999,18533,758,119.43,21.0
USA,Sorghum,1993,15777,715,137.2,8.5
Egypt,Soybeans,2004,27169,51,104.45,22.5
Bangladesh,Maize,1999,51779,2666,122.97,25.5
Albania,Sweet potatoes,2001,154879,1485,125.8,16.37
India,Cassava,2000,158225,1083,128.57,25.0
Brazil,Rice,2009,60440,1761,95.43,25.0
Pakistan,Plantains,2004,71906,494,109.72,19.0
China,Yams,1992,102896,645,142.03,8.5
Egypt,Rice,2010,59182,51,99.01,22.5
Mexico,Wheat,1997,35765,758,129.93,21.0
Turkey,Yams,1990,105540,574,148.46,11.1
Thailand,Maize,1996,57328,1622,127.94,28.0
Thailand,Plantains,2013,99474,1622,84.21,28.0
Canada,Sweet potatoes,2009,140755,537,87.93,-5.35
Albania,Sorghum,2008,16841,1485,92.82,16.37
India,Sweet potatoes,1997,161922,1083,134.13,25.0
Mexico,Rice,1991,53404,758,154.19,21.0
Germany,Maize,1995,59457,700,128.38,8.5
Germany,Rice,2013,58042,700,87.97,8.5
Australia,Cassava,1990,136619,534,158.42,21.65
Albania,Rice,2011,67550,1485,84.27,16.37
Netherlands,Potatoes,1990,185933,850,143.26,9.5
Brazil,Rice,2007,58164,1761,99.98,25.0
Mexico,Wheat,2001,42308,758,125.7,21.0
Vietnam,Soybeans,1991,28856,1821,155.44,25.5
USA,Soybeans,2003,30706,715,107.21,8.5
Austria,Potatoes,2010,223596,1110,96.06,6.35
Argentina,Rice,1995,42989,590,126.52,16.0
Turkey,Potatoes,1998,190652,574,121.25,11.1
Argentina,Plantains,2003,85963,590,115.45,16.0
Argentina,Yams,2002,139299,590,104.37,16.0
Mexico,Sorghum,1993,15085,758,141.06,21.0
Belgium,Maize,2009,57583,847,93.83,10.5
Argentina,Plantains,1990,66162,590,148.02,16.0
Japan,Rice,2009,49835,1668,87.19,12.0
Brazil,Rice,1990,42244,1761,156.78,25.0
Mexico,Sweet potatoes,2009,188853,758,90.13,21.0
Netherlands,Cassava,1997,117872,850,121.5,9.5
Australia,Soybeans,1991,31229,534,149.37,21.65
France,Maize,2003,60730,867,117.0,12.5
Argentina,Maize,1995,55687,590,134.11,16.0
Spain,Soybeans,2004,28351,636,108.3,14.0
Argentina,Wheat,1997,36901,590,126.18,16.0
USA,Maize,1998,53024,715,129.22,8.5
Italy,Maize,2010,57203,832,85.99,13.5
Brazil,Sweet potatoes,1993,127877,1761,132.67,25.0
India,Plantains,2003,76644,1083,105.66,25.0
Netherlands,Sweet potatoes,2006,138843,850,108.41,9.5
Spain,Wheat,1999,30473,636,128.21,14.0
Thailand,Yams,1994,109130,1622,138.66,28.0
Belgium,Potatoes,2008,247053,847,95.25,10.5
France,Plantains,2008,72906,867,100.37,12.5
Spain,Sweet potatoes,2011,190341,636,86.42,14.0
Turkey,Cassava,1998,149073,574,122.07,11.1
Turkey,Rice,2007,52463,574,94.09,11.1
Australia,Sorghum,1993,15817,534,147.32,21.65
France,Maize,1993,59813,867,131.44,12.5
Egypt,Plantains,2006,69142,51,107.84,22.5
Egypt,Plantains,1997,69695,51,123.89,22.5
USA,Sweet potatoes,2004,163139,715,115.99,8.5
Egypt,Sorghum,2009,16176,51,85.13,22.5
Spain,Plantains,1993,59591,636,149.29,14.0
China,Potatoes,2009,228903,645,95.07,8.5
Spain,Sweet potatoes,2006,167736,636,105.6,14.0
Japan,Sweet potatoes,1991,134678,1668,144.41,12.0
Indonesia,Rice,2006,59131,2702,101.72,26.5
Albania,Cassava,1997,138066,1485,129.81,16.37
USA,Soybeans,2008,36549,715,99.02,8.5
USA,Sweet potatoes,1994,156594,715,144.26,8.5
USA,Plantains,1996,75532,715,131.39,8.5
Vietnam,Yams,2004,144471,1821,100.09,25.5
Spain,Wheat,2004,32274,636,104.17,14.0
Mexico,Wheat,2004,34312,758,101.15,21.0
Egypt,Rice,2012,60546,51,91.17,22.5
Netherlands,Sorghum,2010,18478,850,93.75,9.5
USA,Rice,2002,56214,715,110.69,8.5
Netherlands,Maize,1997,57100,850,121.95,9.5
Canada,Sorghum,1993,11593,537,137.71,-5.35
Vietnam,Yams,2007,160843,1821,108.06,25.5
Turkey,Yams,2013,156568,574,89.76,11.1
Austria,Potatoes,1994,178226,1110,140.39,6.35
Egypt,Maize,2010,52973,51,88.28,22.5
Brazil,Sorghum,2011,24724,1761,77.3,25.0
Bangladesh,Sorghum,2000,18014,2666,120.77,25.5
Thailand,Plantains,2009,87932,1622,100.57,28.0
Pakistan,Potatoes,2005,151428,494,112.84,19.0
India,Maize,2013,66307,1083,72.65,25.0
Vietnam,Rice,2008,64192,1821,88.37,25.5
Brazil,Soybeans,2011,41867,1761,80.99,25.0
Australia,Maize,2001,55908,534,109.13,21.65
Turkey,Rice,1995,42625,574,127.99,11.1
Mexico,Maize,2012,82054,758,89.86,21.0
Indonesia,Maize,1997,55075,2702,138.76,26.5
Argentina,Yams,2005,141348,590,108.03,16.0
Thailand,Maize,2013,82212,1622,83.97,28.0
France,Cassava,1998,141760,867,134.9,12.5
Indonesia,Sorghum,1995,15663,2702,127.56,26.5
Austria,Sorghum,2005,19309,1110,101.66,6.35
Indonesia,Cassava,1996,123149,2702,129.97,26.5
United Kingdom,Sorghum,1997,16950,1220,122.95,9.5
Austria,Sweet potatoes,1998,153472,1110,126.24,6.35
Thailand,Sorghum,2009,21371,1622,87.58,28.0
Germany,Soybeans,1997,31725,700,134.54,8.5
Indonesia,Cassava,2009,184409,2702,91.39,26.5
Turkey,Maize,1992,50714,574,144.72,11.1
Argentina,Soybeans,2008,34817,590,91.09,16.0
Argentina,Maize,2001,63733,590,113.19,16.0
Albania,Sweet potatoes,2007,139569,1485,91.02,16.37
France,Yams,1992,117171,867,134.2,12.5
Bangladesh,Yams,1997,123379,2666,121.46,25.5
China,Sweet potatoes,2012,178794,645,80.16,8.5
Spain,Plantains,1992,58829,636,141.76,14.0
Albania,Yams,2001,122054,1485,109.22,16.37
China,Yams,2007,136917,645,98.54,8.5
Egypt,Maize,1997,53746,51,126.86,22.5
Belgium,Sorghum,2013,22014,847,87.45,10.5
Egypt,Sweet potatoes,1993,135273,51,147.18,22.5
United Kingdom,Rice,1993,51258,1220,145.31,9.5
Pakistan,Soybeans,1992,20698,494,147.08,19.0
Thailand,Sweet potatoes,2002,173544,1622,118.34,28.0
India,Cassava,2008,172552,1083,86.8,25.0
Japan,Rice,2006,61327,1668,102.07,12.0
Canada,Yams,1999,100020,537,126.84,-5.35
United Kingdom,Yams,2010,128462,1220,92.71,9.5
France,Rice,2005,60072,867,98.62,12.5
Netherlands,Yams,2012,159118,850,88.99,9.5
Japan,Rice,2003,53287,1668,105.8,12.0
Argentina,Rice,1994,43981,590,140.67,16.0
India,Sorghum,1999,21274,1083,115.68,25.0
Australia,Rice,2011,62165,534,92.59,21.65
Spain,Sweet potatoes,1996,132685,636,140.32,14.0
Indonesia,Maize,1999,63175,2702,116.34,26.5
Brazil,Wheat,1999,32605,1761,123.43,25.0
Bangladesh,Soybeans,2009,31496,2666,89.7,25.5
Turkey,Wheat,1990,29486,574,151.7,11.1
Germany,Potatoes,2013,199879,700,78.74,8.5
Belgium,Wheat,1992,29602,847,134.96,10.5
Vietnam,Maize,2009,76066,1821,84.88,25.5
Italy,Sorghum,2006,16993,832,105.69,13.5
Japan,Sorghum,2007,18853,1668,104.24,12.0
India,Potatoes,1996,231247,1083,138.21,25.0
Germany,Maize,2010,73845,700,99.11,8.5
Netherlands,Wheat,2004,34493,850,110.28,9.5
Vietnam,Rice,2011,57110,1821,87.84,25.5
Italy,Sweet potatoes,1995,122222,832,134.86,13.5
India,Plantains,1992,79113,1083,135.12,25.0
Netherlands,Soybeans,2011,38259,850,77.46,9.5
Japan,Yams,1991,118044,1668,139.63,12.0
Japan,Sorghum,1994,16822,1668,143.0,12.0
United Kingdom,Rice,2008,62000,1220,95.39,9.5
Netherlands,Wheat,2010,34767,850,86.86,9.5
United Kingdom,Sorghum,2004,17721,1220,101.51,9.5
Egypt,Potatoes,2006,204229,51,99.7,22.5
Bangladesh,Sweet potatoes,2004,153372,2666,100.8,25.5
USA,Sorghum,2001,19154,715,119.22,8.5
Austria,Plantains,2010,95587,1110,99.69,6.35
Australia,Wheat,2003,36763,534,108.95,21.65
France,Rice,2009,50185,867,100.33,12.5
USA,Sweet potatoes,2000,166554,715,129.58,8.5
Japan,Wheat,1990,29842,1668,151.85,12.0
Mexico,Soybeans,2003,32229,758,110.96,21.0
Vietnam,Maize,2000,65480,1821,129.44,25.5
USA,Wheat,2001,33649,715,118.56,8.5
Netherlands,Plantains,2013,90132,850,80.77,9.5
Spain,Maize,2011,63328,636,95.74,14.0
Thailand,Wheat,1997,37311,1622,133.11,28.0
Australia,Potatoes,1991,217573,534,141.42,21.65
Brazil,Rice,2011,70633,1761,78.37,25.0
Brazil,Yams,2000,120670,1761,113.4,25.0
Argentina,Potatoes,1998,182298,590,128.36,16.0
China,Plantains,1993,69075,645,145.03,8.5
Vietnam,Wheat,1994,38888,1821,137.83,25.5
Turkey,Sweet potatoes,2007,156638,574,94.73,11.1
Brazil,Potatoes,2011,221046,1761,84.61,25.0
Spain,Yams,1995,101181,636,142.22,14.0
Australia,Yams,1995,132968,534,125.73,21.65
Netherlands,Yams,2007,139396,850,101.86,9.5
Mexico,Yams,2003,138082,758,105.21,21.0
Albania,Soybeans,2000,27426,1485,123.04,16.37
Vietnam,Maize,1997,58638,1821,135.56,25.5
United Kingdom,Plantains,1998,69150,1220,123.47,9.5
Thailand,Potatoes,2003,254265,1622,108.28,28.0
USA,Plantains,2005,78212,715,103.37,8.5
Vietnam,Plantains,1999,74939,1821,128.39,25.5
Pakistan,Maize,1999,42366,494,119.88,19.0
Austria,Yams,2006,118578,1110,106.91,6.35
France,Plantains,2002,69056,867,118.85,12.5
Pakistan,Rice,1997,36430,494,129.98,19.0
Netherlands,Yams,2013,122305,850,72.47,9.5
India,Maize,2000,53961,1083,125.67,25.0
Japan,Soybeans,2000,28288,1668,118.61,12.0
United Kingdom,Wheat,2000,34723,1220,126.98,9.5
Italy,Potatoes,1996,182291,832,138.86,13.5
Bangladesh,Wheat,1994,31487,2666,141.52,25.5
Mexico,Sweet potatoes,2001,178504,758,118.13,21.0
Mexico,Sweet potatoes,2006,155285,758,98.2,21.0
USA,Sorghum,1999,14921,715,127.43,8.5
Belgium,Yams,1994,119789,847,135.85,10.5
India,Wheat,2000,39652,1083,112.13,25.0
Canada,Soybeans,2000,29146,537,126.8,-5.35
Turkey,Cassava,2006,149670,574,97.29,11.1
Canada,Plantains,2006,69878,537,108.42,-5.35
Indonesia,Wheat,2011,35619,2702,81.64,26.5
Indonesia,Wheat,1999,32529,2702,126.29,26.5
Argentina,Sweet potatoes,1998,131464,590,118.82,16.0
Belgium,Maize,2005,67253,847,107.06,10.5
United Kingdom,Potatoes,2004,179087,1220,116.96,9.5
Indonesia,Yams,2000,137046,2702,118.31,26.5
Australia,Sorghum,2002,18066,534,111.45,21.65
